Name,Score,Address,City,Zip
Mekha Restaurant,85,6846 NE Sandy Blvd,Portland,97213
Kays Bar,94.75,6903 SE Milwaukie Ave,Portland,97202
Ben & Esther's Bagels,100,6912 NE Sandy Boulevard,Portland,97211
Misdemeanor Meadows,95.66666667,6920 SE 52nd Ave,Portland,97206
Meridian 7,97,7 NE Martin Luther Kinng Jr Boulevard,Portland,97232
Duck Store,98.75,70 NW Couch St,Portland,97209
Oregon Public House,95.33333333,700 NE Dekum St,Portland,97211
"Cafe 700,",93,700 NE Multnomah St 140,Portland,97232
Portland Roasting Coffee,94.75,700 SW 5th Ave,Portland,97204
Yong Kang Street-Noodle House,78.75,700 SW 5th Ave #1101,Portland,97204
Raising Cane's Chicken Fingers,92,700 SW 5th Avenue,Portland,97204
Bridge City Cafe,91.25,700 SW 5th Avenue #1072,Portland,97204
Kung Fu Tea,89,700 SW 5th Avenue #175,Portland,97204
Dairy Hill Ice Cream,98,700 SW 5th Avenue Space 1064,Portland,97204
Burger Fi,95,700 SW 5th Avenue Space 1113,Portland,97204
PDX Alaska Airlines Boardroom C2120A,94.75714286,7000 NE Airport Way,Portland,97218
"PDX Capers Market, T2509",99.5,7000 NE Airport Way 0,Portland,97218
"PDX Vino Volo, C2064",99,7000 NE Airport Way C2064,Portland,97218
"PDX Starbucks Coffee C-East Kiosk,",97.33333333,7000 NE Airport Way C-east K,Portland,97218
PDX Kenny & Zukes Deli,98.14285714,7000 NE Airport Way Conc #c,Portland,97218
PDX Portland Roasting - North Lobby,100,7000 NE Airport Way N Lobby,Portland,97218
PDX Peet's Coffee D2000A,98.33333333,7000 NE Airport Way Space D2000a,Portland,97218
"PDX Peet's Coffee, T1014",98.33333333,7000 NE Airport Way T1014,Portland,97218
"PDX Stumptown Coffee Roasters, South",98.33333333,7000 NE Airport Way Unit T2522,Portland,97218
Home 2 Suites by Hilton,100,7001 NE 82nd Avenue,Portland,97220
"Starbucks Coffee, #413",100,7001 SE Milwaukie Ave,Portland,97202
Bun Bo Hue Restaurant,92.33333333,7002 SE 82nd Ave,Portland,97266
Your Inn Tavern,94,7004 N Catlin Ave,Portland,97203
Rose City Taqueria,83.33333333,7007 N Fessenden St,Portland,97203
Michoacan Corporation,95,7008 N Interstate Ave,Portland,97217
Mikkeller,97,701 E Burnside St,Portland,97214
Irving Street Kitchen,90.25,701 NW 13th Ave,Portland,97209
Papa Haydn West,98.5,701 NW 23rd Ave,Portland,97210
Nordstrom Cafe,96.75,701 SW Broadway,Portland,97205
Country Inn and Suites Brenners Restaurant,99,7025 NE Alderwood Rd,Portland,97218
Reds Bar and Grill,97.5,7025 SE Foster Rd,Portland,97206
"Chipotle Mexican Grill, #440",100,704 NE Weidler St,Portland,97232
Bhuna Restaurant,100,704 NW 21st Ave,Portland,97209
Nick's Pizza & Sports Bar,91,707 NE 181st Ave,Portland,97230
Happy Dragon Chinese Restaurant,90.5,707 NE 82nd Ave,Portland,97220
Muchas Gracias,86.5,707 NE Weidler St,Portland,97232
Rimsky Korsakoffee,100,707 SE 12th Ave,Portland,97214
Coco Donuts,97.25,709 SW 17th Ave,Portland,97205
Senate PDX,77.33333333,71 SW 2nd Ave,Portland,97204
Atlas On Killingsworth,97.75,710 N Killingsworth St,Portland,97217
Loyal Legion,97.33333333,710 SE 6th Ave,Portland,97214
Gandhi Indian Restaurant,82,710 SW 2nd Ave,Portland,97204
Native American Student and Community Center PSU,97,710 SW Jackson St,Portland,97201
Caffe Umbria,88.66666667,710 SW Madison St 40,Portland,97205
Amir's Motherland Dish,90.5,7100 NE Glisan St,Portland,97213
Sky Jocky Bar & Grill,96,7101 NE 82nd Ave,Portland,97220
Firehouse,97,711 NE Dekum St,Portland,97211
Subway,100,7110 NE Sandy Blvd,Portland,97213
Rovente Pizzeria,100,7119 SW Macadam Ave,Portland,97219
Coffee Time,100,712 NW 21st Ave,Portland,97209
Pizzeria Otto,100,7122 SE Foster Road,Portland,97206
Big Kahunas BBQ and Catering,91,7123 N Lombard St,Portland,97203
Maple Leaf,85.66666667,7129 SE Foster Rd,Portland,97206
Heim Bakery & Cafe,94.66666667,7137 NE Fremont St,Portland,97213
Grand Central Bakery Fremont,97,714 N Fremont St,Portland,97227
Pho Jasmine,97,714 N Killingsworth Ct,Portland,97217
Belle Foodservice,97.33333333,714 NE Hancock St Ste 107,Portland,97212
715 Inn,100,715 NE BROADWAY Street,Portland,97232
Blue Stone Deli,95.33333333,715 NE Hood Ave,Gresham,97030
Old Spaghetti Factory,97,715 SW Bancroft St,Portland,97239
Capital One Cafe,96.33333333,715 SW Morrison St,Portland,97205
R&R Bar,92,716 NW 21st Ave,Portland,97209
Yurs Restaurant and Lounge,92.25,717 NW 16th Ave,Portland,97209
Home,100,719 SE Morrison St,Portland,97214
Donut World,92.33333333,720 NE Burnside Rd,Gresham,97030
Kachinka,100,720 SE Grand Ave,Portland,97214
Rum Club,100,720 SE Sandy Blvd,Portland,97214
"Starbucks Coffee, #401",96,720 SW Broadway,Portland,97205
Fillmore Coffee,98.75,7201 NE Glisan St A,Portland,97213
Blank Slate,99,7201 NE Glisan St C,Portland,97213
Classic Thai Cuisine,83.33333333,7202 SE Milwaukie Ave,Portland,97202
